,time,origin,value
446,1675611000000.0,3,268.1311340332031
447,1675611900000.0,3,267.6534118652344
448,1675612800000.0,3,267.4214172363281
449,1675613700000.0,3,266.37628173828125
450,1675614600000.0,3,266.21734619140625
451,1675615500000.0,3,266.2491760253906
452,1675616400000.0,3,266.0726318359375
453,1675617300000.0,3,265.9641418457031
454,1675618200000.0,3,266.3013610839844
455,1675619100000.0,3,266.2983093261719
456,1675620000000.0,3,266.0430908203125
457,1675620900000.0,3,266.208740234375
458,1675621800000.0,3,266.5936584472656
459,1675622700000.0,3,266.6557922363281
460,1675623600000.0,3,266.5555114746094
461,1675624500000.0,3,266.75927734375
462,1675625400000.0,3,267.0989990234375
463,1675626300000.0,3,267.4696044921875
464,1675627200000.0,3,267.4664611816406
465,1675628100000.0,3,267.23724365234375
466,1675629000000.0,3,267.0104675292969
467,1675629900000.0,3,266.9122314453125
468,1675630800000.0,3,266.97845458984375
469,1675631700000.0,3,267.29388427734375
470,1675632600000.0,3,267.03826904296875
471,1675633500000.0,3,266.48052978515625
472,1675634400000.0,3,266.7672424316406
473,1675635300000.0,3,267.07305908203125
474,1675636200000.0,3,266.50872802734375
475,1675637100000.0,3,266.514404296875
476,1675638000000.0,3,266.5546569824219
477,1675638900000.0,3,266.40509033203125
478,1675639800000.0,3,266.23394775390625
479,1675640700000.0,3,266.5936279296875
480,1675641600000.0,3,266.7456970214844
481,1675642500000.0,3,267.6231689453125
482,1675643400000.0,3,267.36419677734375
483,1675644300000.0,3,267.1948547363281
484,1675645200000.0,3,267.4443054199219
485,1675646100000.0,3,267.57220458984375
486,1675647000000.0,3,267.579833984375
487,1675647900000.0,3,267.95831298828125
488,1675648800000.0,3,268.1779479980469
489,1675649700000.0,3,267.7039794921875
490,1675650600000.0,3,268.3746643066406
491,1675651500000.0,3,268.819091796875
492,1675652400000.0,3,268.668701171875
493,1675653300000.0,3,268.83837890625
494,1675654200000.0,3,268.8937683105469
495,1675655100000.0,3,268.8388671875
496,1675656000000.0,3,268.65631103515625
497,1675656900000.0,3,269.15521240234375
498,1675657800000.0,3,269.0193176269531
499,1675658700000.0,3,269.4444274902344
500,1675659600000.0,3,269.518310546875
501,1675660500000.0,3,269.3404541015625
502,1675661400000.0,3,269.31561279296875
503,1675662300000.0,3,269.0821533203125
504,1675663200000.0,3,268.8914489746094
505,1675664100000.0,3,268.9048767089844
506,1675665000000.0,3,268.9198303222656
507,1675665900000.0,3,269.1385192871094
508,1675666800000.0,3,269.3523864746094
509,1675667700000.0,3,269.564697265625
510,1675668600000.0,3,269.8037109375
511,1675669500000.0,3,270.03558349609375
512,1675670400000.0,3,270.2947998046875
513,1675671300000.0,3,270.4999084472656
514,1675672200000.0,3,270.78106689453125
515,1675673100000.0,3,271.0152587890625
516,1675674000000.0,3,271.22698974609375
517,1675674900000.0,3,271.5267639160156
518,1675675800000.0,3,271.8728332519531
519,1675676700000.0,3,272.152099609375
520,1675677600000.0,3,272.361328125
521,1675678500000.0,3,272.5283508300781
522,1675679400000.0,3,272.73345947265625
523,1675680300000.0,3,272.83782958984375
524,1675681200000.0,3,272.8441467285156
525,1675682100000.0,3,272.8374938964844
526,1675683000000.0,3,272.6000671386719
527,1675683900000.0,3,273.0237731933594
528,1675684800000.0,3,272.9794616699219
529,1675685700000.0,3,272.8667907714844
530,1675686600000.0,3,272.6829833984375
531,1675687500000.0,3,272.3607177734375
532,1675688400000.0,3,272.4458312988281
533,1675689300000.0,3,272.7742614746094
534,1675690200000.0,3,272.8700866699219
535,1675691100000.0,3,272.8312072753906
536,1675692000000.0,3,272.7729797363281
537,1675692900000.0,3,272.723876953125
538,1675693800000.0,3,272.6876525878906
539,1675694700000.0,3,272.57623291015625
540,1675695600000.0,3,272.345703125
541,1675696500000.0,3,272.0393371582031
542,1675697400000.0,3,271.4483337402344
543,1675698300000.0,3,271.6011047363281
544,1675699200000.0,3,271.6820373535156
545,1675700100000.0,3,271.9959411621094
546,1675701000000.0,3,271.6570129394531
547,1675701900000.0,3,271.810546875
548,1675702800000.0,3,271.7426452636719
549,1675703700000.0,3,271.9689636230469
550,1675704600000.0,3,272.1183166503906
551,1675705500000.0,3,272.1750183105469
552,1675706400000.0,3,272.28424072265625
553,1675707300000.0,3,272.23846435546875
554,1675708200000.0,3,272.3185729980469
555,1675709100000.0,3,272.3009033203125
556,1675710000000.0,3,272.18743896484375
557,1675710900000.0,3,271.937744140625
558,1675711800000.0,3,271.56793212890625
559,1675712700000.0,3,271.4502258300781
560,1675713600000.0,3,271.52593994140625
561,1675714500000.0,3,271.97137451171875
562,1675715400000.0,3,272.0110168457031
563,1675716300000.0,3,272.1161193847656
564,1675717200000.0,3,272.16156005859375
565,1675718100000.0,3,271.9499816894531
566,1675719000000.0,3,272.1033020019531
567,1675719900000.0,3,272.1181335449219
568,1675720800000.0,3,272.1136779785156
569,1675721700000.0,3,272.06976318359375
570,1675722600000.0,3,272.0940856933594
571,1675723500000.0,3,272.1320495605469
572,1675724400000.0,3,272.1534118652344
573,1675725300000.0,3,272.17919921875
574,1675726200000.0,3,272.2076416015625
575,1675727100000.0,3,272.1397705078125
576,1675728000000.0,3,272.157470703125
577,1675728900000.0,3,272.159912109375
578,1675729800000.0,3,272.160400390625
579,1675730700000.0,3,272.2379455566406
580,1675731600000.0,3,272.3021545410156
581,1675732500000.0,3,272.3450622558594
582,1675733400000.0,3,272.3726501464844
583,1675734300000.0,3,272.3525390625
584,1675735200000.0,3,272.32421875
585,1675736100000.0,3,272.3209228515625
586,1675737000000.0,3,272.2785339355469
587,1675737900000.0,3,272.2024841308594
588,1675738800000.0,3,272.1368408203125
589,1675739700000.0,3,272.0406188964844
590,1675740600000.0,3,271.97381591796875
591,1675741500000.0,3,271.9184875488281
592,1675742400000.0,3,271.8757019042969
593,1675743300000.0,3,271.82196044921875
594,1675744200000.0,3,271.7767639160156
595,1675745100000.0,3,271.758544921875
596,1675746000000.0,3,271.7868347167969
597,1675746900000.0,3,271.8402404785156
598,1675747800000.0,3,271.8555908203125
599,1675748700000.0,3,271.91412353515625
600,1675749600000.0,3,272.12933349609375
601,1675750500000.0,3,272.1656494140625
602,1675751400000.0,3,272.2382507324219
603,1675752300000.0,3,272.3804931640625
604,1675753200000.0,3,272.3998718261719
605,1675754100000.0,3,272.431884765625
606,1675755000000.0,3,272.5649108886719
607,1675755900000.0,3,272.7854309082031
608,1675756800000.0,3,272.8987121582031
609,1675757700000.0,3,273.00103759765625
610,1675758600000.0,3,273.1370849609375
611,1675759500000.0,3,273.27362060546875
612,1675760400000.0,3,273.4270324707031
613,1675761300000.0,3,273.6387023925781
614,1675762200000.0,3,273.8537902832031
615,1675763100000.0,3,273.9795227050781
616,1675764000000.0,3,274.1244812011719
617,1675764900000.0,3,274.1750793457031
618,1675765800000.0,3,274.1957702636719
619,1675766700000.0,3,274.2719421386719
620,1675767600000.0,3,274.3316345214844
621,1675768500000.0,3,274.3299865722656
622,1675769400000.0,3,274.32025146484375
623,1675770300000.0,3,274.317138671875
624,1675771200000.0,3,274.3347473144531
625,1675772100000.0,3,274.3123779296875
626,1675773000000.0,3,274.2248229980469
627,1675773900000.0,3,274.21484375
628,1675774800000.0,3,274.201416015625
629,1675775700000.0,3,274.16436767578125
630,1675776600000.0,3,273.9308166503906
631,1675777500000.0,3,273.94305419921875
632,1675778400000.0,3,273.8044128417969
633,1675779300000.0,3,273.5838317871094
634,1675780200000.0,3,273.4642333984375
635,1675781100000.0,3,273.3807373046875
636,1675782000000.0,3,272.9752197265625
637,1675782900000.0,3,272.7181396484375
638,1675783800000.0,3,272.6241760253906
639,1675784700000.0,3,272.5337219238281
640,1675785600000.0,3,271.78509521484375
641,1675786500000.0,3,270.5657653808594
642,1675787400000.0,3,270.1009216308594
643,1675788300000.0,3,269.96990966796875
644,1675789200000.0,3,271.1247253417969
645,1675790100000.0,3,271.9178771972656
646,1675791000000.0,3,272.0033874511719
647,1675791900000.0,3,271.9606018066406
648,1675792800000.0,3,270.57000732421875
649,1675793700000.0,3,270.0199890136719
650,1675794600000.0,3,269.9726867675781
651,1675795500000.0,3,269.9188232421875
652,1675796400000.0,3,271.2845153808594
653,1675797300000.0,3,271.7773132324219
654,1675798200000.0,3,271.8160095214844
655,1675799100000.0,3,271.6709899902344
656,1675800000000.0,3,271.9044494628906
657,1675800900000.0,3,272.2916564941406
658,1675801800000.0,3,272.52410888671875
659,1675802700000.0,3,272.5374450683594
660,1675803600000.0,3,272.4757385253906
661,1675804500000.0,3,272.44775390625
662,1675805400000.0,3,271.6944580078125
663,1675806300000.0,3,271.86041259765625
664,1675807200000.0,3,271.7472229003906
665,1675808100000.0,3,271.46234130859375
666,1675809000000.0,3,271.21246337890625
667,1675809900000.0,3,271.0943908691406
668,1675810800000.0,3,271.04986572265625
669,1675811700000.0,3,270.543701171875
670,1675812600000.0,3,271.23297119140625
671,1675813500000.0,3,271.880615234375
672,1675814400000.0,3,271.9984436035156
673,1675815300000.0,3,272.0139465332031
674,1675816200000.0,3,272.03070068359375
675,1675817100000.0,3,272.0347595214844
676,1675818000000.0,3,272.0191955566406
677,1675818900000.0,3,271.9666748046875
678,1675819800000.0,3,271.9292907714844
679,1675820700000.0,3,271.8757019042969
680,1675821600000.0,3,271.8174133300781
681,1675822500000.0,3,271.53643798828125
682,1675823400000.0,3,271.53546142578125
683,1675824300000.0,3,270.45904541015625
684,1675825200000.0,3,271.7248840332031
685,1675826100000.0,3,271.85198974609375
686,1675827000000.0,3,271.83233642578125
687,1675827900000.0,3,271.7845458984375
688,1675828800000.0,3,271.7348327636719
689,1675829700000.0,3,271.70928955078125
690,1675830600000.0,3,271.71624755859375
691,1675831500000.0,3,271.7138671875
692,1675832400000.0,3,271.7027587890625
693,1675833300000.0,3,271.6871337890625
694,1675834200000.0,3,271.6427001953125
695,1675835100000.0,3,271.5586242675781
696,1675836000000.0,3,271.0341796875
697,1675836900000.0,3,269.9204406738281
698,1675837800000.0,3,271.3290100097656
699,1675838700000.0,3,271.3435363769531
700,1675839600000.0,3,271.49090576171875
701,1675840500000.0,3,271.7272033691406
702,1675841400000.0,3,271.9978942871094
703,1675842300000.0,3,272.2086486816406
704,1675843200000.0,3,272.3262023925781
705,1675844100000.0,3,272.3870544433594
706,1675845000000.0,3,272.603271484375
707,1675845900000.0,3,272.7318115234375
708,1675846800000.0,3,272.8536071777344
709,1675847700000.0,3,272.8102722167969
710,1675848600000.0,3,272.8207092285156
711,1675849500000.0,3,273.0514831542969
712,1675850400000.0,3,273.1779479980469
713,1675851300000.0,3,272.8190002441406
714,1675852200000.0,3,273.129150390625
715,1675853100000.0,3,273.09234619140625
716,1675854000000.0,3,273.28546142578125
717,1675854900000.0,3,273.3293762207031
718,1675855800000.0,3,273.41375732421875
719,1675856700000.0,3,273.3260192871094
720,1675857600000.0,3,273.193359375
721,1675858500000.0,3,273.2203674316406
722,1675859400000.0,3,272.9054870605469
723,1675860300000.0,3,272.95648193359375
724,1675861200000.0,3,272.75848388671875
725,1675862100000.0,3,272.7629089355469
726,1675863000000.0,3,272.6349182128906
727,1675863900000.0,3,272.4342041015625
728,1675864800000.0,3,272.4205322265625
729,1675865700000.0,3,272.1318359375
730,1675866600000.0,3,271.9966125488281
731,1675867500000.0,3,271.9494323730469
732,1675868400000.0,3,271.5906066894531
733,1675869300000.0,3,271.4421081542969
734,1675870200000.0,3,271.31024169921875
735,1675871100000.0,3,271.15740966796875
736,1675872000000.0,3,271.07550048828125
737,1675872900000.0,3,270.9606018066406
738,1675873800000.0,3,270.8613586425781
739,1675874700000.0,3,270.65850830078125
740,1675875600000.0,3,270.5173645019531
741,1675876500000.0,3,270.4839172363281
742,1675877400000.0,3,270.3831787109375
743,1675878300000.0,3,270.4172668457031
744,1675879200000.0,3,271.8485412597656
745,1675880100000.0,3,271.76580810546875
746,1675881000000.0,3,271.7342529296875
747,1675881900000.0,3,271.65240478515625
748,1675882800000.0,3,271.63018798828125
749,1675883700000.0,3,271.5205078125
750,1675884600000.0,3,271.372802734375
751,1675885500000.0,3,271.22113037109375
752,1675886400000.0,3,271.10321044921875
753,1675887300000.0,3,270.9992980957031
754,1675888200000.0,3,270.8993835449219
755,1675889100000.0,3,270.7862548828125
756,1675890000000.0,3,270.7295837402344
757,1675890900000.0,3,270.76263427734375
758,1675891800000.0,3,270.8309631347656
759,1675892700000.0,3,270.6815185546875
760,1675893600000.0,3,270.6642761230469
761,1675894500000.0,3,270.45135498046875
762,1675895400000.0,3,270.4917297363281
763,1675896300000.0,3,270.3918151855469
764,1675897200000.0,3,270.5781555175781
765,1675898100000.0,3,270.5002746582031
766,1675899000000.0,3,270.0224304199219
767,1675899900000.0,3,270.4254150390625
768,1675900800000.0,3,270.2785339355469
769,1675901700000.0,3,270.4543762207031
770,1675902600000.0,3,270.3882751464844
771,1675903500000.0,3,270.29119873046875
772,1675904400000.0,3,269.9857177734375
773,1675905300000.0,3,269.9399719238281
774,1675906200000.0,3,269.7659606933594
775,1675907100000.0,3,269.6715087890625
776,1675908000000.0,3,269.56414794921875
777,1675908900000.0,3,269.5326843261719
778,1675909800000.0,3,269.4716491699219
779,1675910700000.0,3,269.4273376464844
780,1675911600000.0,3,269.3992919921875
781,1675912500000.0,3,269.29559326171875
782,1675913400000.0,3,269.2501220703125
783,1675914300000.0,3,269.1661682128906
784,1675915200000.0,3,269.15228271484375
785,1675916100000.0,3,269.086181640625
786,1675917000000.0,3,269.01629638671875
787,1675917900000.0,3,268.9289855957031
788,1675918800000.0,3,268.7469177246094
789,1675919700000.0,3,268.6045837402344
790,1675920600000.0,3,268.48870849609375
791,1675921500000.0,3,268.4120788574219
792,1675922400000.0,3,268.70849609375
793,1675923300000.0,3,268.3783874511719
794,1675924200000.0,3,268.454833984375
795,1675925100000.0,3,268.74615478515625
796,1675926000000.0,3,268.989990234375
797,1675926900000.0,3,269.3561096191406
798,1675927800000.0,3,269.6309509277344
